大陆,#genre#
GOOD TV CH45 卡通,https://live.streamingfast.net/osmflivech45.m3u8
GOOD TV CH49 禱告頻道,https://live.streamingfast.net/osmflivech49.m3u8
GOOD TV CH5 共享觀點 短版,https://live.streamingfast.net/osmflivech5.m3u8
GOOD TV CH50 國際講員 中文發音,https://live.streamingfast.net/osmflivech50.m3u8
GOOD TV CH7 禱告大軍 信息,https://live.streamingfast.net/osmflivech7.m3u8
GOOD TV CH8 幸福學堂 短版,https://live.streamingfast.net/osmflivech8.m3u8
GOOD TV CH9 愛+好醫生 短版,https://live.streamingfast.net/osmflivech9.m3u8
希望電視台,https://bcliveuniv-lh.akamaihd.net/i/Live_1@384161/master.m3u8

旅游,#genre#
亞旅衛視,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8

